# y+ ()       
# Time        	patch         	min           	max           	average       
40.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
41            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
41            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
41.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
41.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
42            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
42            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
42.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
42.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
43            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
43            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
43.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
43.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
44            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
44            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
44.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
44.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
45            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
45            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
45.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
45.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
46            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
46            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
46.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
46.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
47            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
47            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
47.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
47.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
48            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
48            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
48.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
48.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
49            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
49            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
49.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
49.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
50            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
50            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
50.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
50.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
51            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
51            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
51.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
51.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
52            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
52            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
52.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
52.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
53            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
53            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
53.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
53.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
54            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
54            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
54.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
54.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
55            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
55            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
55.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
55.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
56            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
56            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
56.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
56.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
57            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
57            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
57.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
57.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
58            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
58            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
58.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
58.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
59            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
59            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
59.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
59.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
60            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
60            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
