# y+ ()       
# Time        	patch         	min           	max           	average       
36.5          	bottomWall	1.433332e-02	1.394558e-01	2.516744e-02
37            	topWall	7.082288e-02	6.943556e-01	6.060271e-01
37            	bottomWall	1.432593e-02	1.394550e-01	2.516571e-02
37.5          	topWall	7.082422e-02	6.943840e-01	6.060556e-01
37.5          	bottomWall	1.431925e-02	1.394542e-01	2.516417e-02
38            	topWall	7.082541e-02	6.944093e-01	6.060811e-01
38            	bottomWall	1.431323e-02	1.394533e-01	2.516279e-02
38.5          	topWall	7.082648e-02	6.944319e-01	6.061041e-01
38.5          	bottomWall	1.430779e-02	1.394526e-01	2.516155e-02
39            	topWall	7.082742e-02	6.944522e-01	6.061247e-01
39            	bottomWall	1.430288e-02	1.394518e-01	2.516044e-02
39.5          	topWall	7.082827e-02	6.944703e-01	6.061432e-01
39.5          	bottomWall	1.429845e-02	1.394511e-01	2.515945e-02
40            	topWall	7.082902e-02	6.944864e-01	6.061598e-01
40            	bottomWall	1.429445e-02	1.394504e-01	2.515856e-02
40.5          	topWall	7.082968e-02	6.945009e-01	6.061747e-01
40.5          	bottomWall	1.429084e-02	1.394497e-01	2.515777e-02
41            	topWall	7.083028e-02	6.945138e-01	6.061881e-01
41            	bottomWall	1.428759e-02	1.394491e-01	2.515705e-02
41.5          	topWall	7.083081e-02	6.945253e-01	6.062001e-01
41.5          	bottomWall	1.428465e-02	1.394484e-01	2.515641e-02
42            	topWall	7.083129e-02	6.945356e-01	6.062109e-01
42            	bottomWall	1.428200e-02	1.394478e-01	2.515584e-02
42.5          	topWall	7.083171e-02	6.945448e-01	6.062206e-01
42.5          	bottomWall	1.427961e-02	1.394472e-01	2.515533e-02
43            	topWall	7.083209e-02	6.945530e-01	6.062293e-01
43            	bottomWall	1.427745e-02	1.394467e-01	2.515486e-02
43.5          	topWall	7.083243e-02	6.945603e-01	6.062371e-01
43.5          	bottomWall	1.427551e-02	1.394461e-01	2.515445e-02
44            	topWall	7.083273e-02	6.945669e-01	6.062441e-01
44            	bottomWall	1.427376e-02	1.394456e-01	2.515408e-02
44.5          	topWall	7.083300e-02	6.945727e-01	6.062504e-01
44.5          	bottomWall	1.427218e-02	1.394451e-01	2.515374e-02
45            	topWall	7.083324e-02	6.945780e-01	6.062560e-01
45            	bottomWall	1.427075e-02	1.394446e-01	2.515344e-02
45.5          	topWall	7.083346e-02	6.945826e-01	6.062611e-01
45.5          	bottomWall	1.426947e-02	1.394441e-01	2.515317e-02
46            	topWall	7.083365e-02	6.945868e-01	6.062656e-01
46            	bottomWall	1.426831e-02	1.394436e-01	2.515292e-02
46.5          	topWall	7.083382e-02	6.945905e-01	6.062697e-01
46.5          	bottomWall	1.426726e-02	1.394431e-01	2.515270e-02
47            	topWall	7.083398e-02	6.945938e-01	6.062734e-01
47            	bottomWall	1.426632e-02	1.394427e-01	2.515250e-02
47.5          	topWall	7.083412e-02	6.945968e-01	6.062767e-01
47.5          	bottomWall	1.426548e-02	1.394423e-01	2.515232e-02
48            	topWall	7.083424e-02	6.945994e-01	6.062796e-01
48            	bottomWall	1.426471e-02	1.394419e-01	2.515216e-02
48.5          	topWall	7.083436e-02	6.946018e-01	6.062823e-01
48.5          	bottomWall	1.426402e-02	1.394415e-01	2.515201e-02
49            	topWall	7.083446e-02	6.946039e-01	6.062846e-01
49            	bottomWall	1.426340e-02	1.394411e-01	2.515188e-02
49.5          	topWall	7.083455e-02	6.946058e-01	6.062868e-01
49.5          	bottomWall	1.426284e-02	1.394407e-01	2.515176e-02
50            	topWall	7.083463e-02	6.946074e-01	6.062887e-01
50            	bottomWall	1.426234e-02	1.394403e-01	2.515165e-02
50.5          	topWall	7.083471e-02	6.946089e-01	6.062904e-01
50.5          	bottomWall	1.426189e-02	1.394400e-01	2.515155e-02
51            	topWall	7.083478e-02	6.946103e-01	6.062920e-01
51            	bottomWall	1.426148e-02	1.394397e-01	2.515146e-02
51.5          	topWall	7.083484e-02	6.946114e-01	6.062933e-01
51.5          	bottomWall	1.426111e-02	1.394393e-01	2.515138e-02
52            	topWall	7.083489e-02	6.946125e-01	6.062946e-01
52            	bottomWall	1.426078e-02	1.394390e-01	2.515130e-02
52.5          	topWall	7.083494e-02	6.946135e-01	6.062957e-01
52.5          	bottomWall	1.426048e-02	1.394387e-01	2.515124e-02
53            	topWall	7.083499e-02	6.946143e-01	6.062967e-01
53            	bottomWall	1.426021e-02	1.394384e-01	2.515117e-02
53.5          	topWall	7.083503e-02	6.946151e-01	6.062976e-01
53.5          	bottomWall	1.425997e-02	1.394381e-01	2.515112e-02
54            	topWall	7.083507e-02	6.946157e-01	6.062984e-01
54            	bottomWall	1.425975e-02	1.394378e-01	2.515106e-02
54.5          	topWall	7.083510e-02	6.946163e-01	6.062991e-01
54.5          	bottomWall	1.425956e-02	1.394375e-01	2.515101e-02
55            	topWall	7.083513e-02	6.946169e-01	6.062998e-01
55            	bottomWall	1.425938e-02	1.394373e-01	2.515097e-02
55.5          	topWall	7.083516e-02	6.946173e-01	6.063004e-01
55.5          	bottomWall	1.425922e-02	1.394370e-01	2.515093e-02
