# y+ ()       
# Time        	patch         	min           	max           	average       
53.5          	topWall	1.532160e-01	1.712116e+00	1.449528e+00
53.5          	bottomWall	2.122900e-03	5.373127e-03	2.893512e-03
54            	topWall	1.532757e-01	1.713610e+00	1.450545e+00
54            	bottomWall	2.122870e-03	5.372867e-03	2.893626e-03
54.5          	topWall	1.533327e-01	1.715045e+00	1.451522e+00
54.5          	bottomWall	2.122847e-03	5.372716e-03	2.893736e-03
55            	topWall	1.533870e-01	1.716432e+00	1.452460e+00
55            	bottomWall	2.122830e-03	5.372697e-03	2.893841e-03
55.5          	topWall	1.534453e-01	1.717765e+00	1.453360e+00
55.5          	bottomWall	2.122818e-03	5.372792e-03	2.893939e-03
56            	topWall	1.534949e-01	1.719050e+00	1.454226e+00
56            	bottomWall	2.122812e-03	5.372962e-03	2.894032e-03
56.5          	topWall	1.535411e-01	1.720280e+00	1.455056e+00
56.5          	bottomWall	2.122809e-03	5.373158e-03	2.894119e-03
57            	topWall	1.535818e-01	1.721464e+00	1.455853e+00
57            	bottomWall	2.122812e-03	5.373326e-03	2.894204e-03
57.5          	topWall	1.536226e-01	1.722608e+00	1.456618e+00
57.5          	bottomWall	2.122817e-03	5.373409e-03	2.894285e-03
58            	topWall	1.536709e-01	1.723708e+00	1.457354e+00
58            	bottomWall	2.122827e-03	5.373360e-03	2.894362e-03
58.5          	topWall	1.537079e-01	1.724760e+00	1.458057e+00
58.5          	bottomWall	2.122840e-03	5.373151e-03	2.894438e-03
59            	topWall	1.537452e-01	1.725775e+00	1.458734e+00
59            	bottomWall	2.122855e-03	5.372786e-03	2.894510e-03
59.5          	topWall	1.537823e-01	1.726754e+00	1.459383e+00
59.5          	bottomWall	2.122874e-03	5.372313e-03	2.894581e-03
60            	topWall	1.538166e-01	1.727696e+00	1.460008e+00
60            	bottomWall	2.122894e-03	5.371846e-03	2.894651e-03
